ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,balance
1,0,1767214800,1767214800000,2,0,0,0,,,,0.0,0.0,0.0,0.0,,,,1000.0
2,0,1767214800,1767214800000,2,0,0,0,,,,0.0,0.0,0.0,0.0,,,,1000.0
3,1,1767214800,1767214800000,0,0,10012026,1,5.0,0.01,1.17376,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1000.0
4,2,1767214800,1767214800000,1,0,10012026,2,5.0,0.01,1.17376,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1000.0
5,3,1767587820,1767587820000,0,1,0,2,5.0,0.01,1.16869,-0.2,0.0,5.07,0.0,EURUSD,TP hit,0,1004.87
6,4,1767587820,1767587820000,1,0,10012026,3,5.0,0.01,1.16869,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1004.87
7,5,1767625440,1767625440000,1,1,0,1,5.0,0.01,1.1666400000000001,-0.2,0.0,-7.12,0.0,EURUSD,SL hit,0,997.55
8,6,1767625440,1767625440000,0,0,10012026,4,5.0,0.02,1.1666400000000001,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,997.55
9,7,1767637980,1767637980000,1,1,0,4,5.0,0.02,1.17166,-0.2,0.0,10.04,0.0,EURUSD,TP hit,0,1007.39
10,8,1767637980,1767637980000,0,0,10012026,5,5.0,0.01,1.17166,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1007.39
11,9,1767900660,1767900660000,1,1,0,5,5.0,0.01,1.16466,-0.2,0.0,-7.0,0.0,EURUSD,SL hit,0,1000.1899999999999
12,10,1767900660,1767900660000,0,0,10012026,6,5.0,0.02,1.16466,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1000.1899999999999
13,11,1767975960,1767975960000,0,1,0,3,5.0,0.01,1.1636199999999999,-0.2,0.0,5.07,0.0,EURUSD,TP hit,0,1005.06
14,12,1767975960,1767975960000,1,0,10012026,7,5.0,0.01,1.1636199999999999,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1005.06
15,13,1768232820,1768232820000,1,1,0,6,5.0,0.02,1.16968,-0.2,0.0,10.04,0.0,EURUSD,TP hit,0,1014.9
16,14,1768232820,1768232820000,0,0,10012026,8,5.0,0.01,1.16968,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1014.9
17,15,1768488900,1768488900000,1,1,0,8,5.0,0.01,1.16254,-0.2,0.0,-7.14,0.0,EURUSD,SL hit,0,1007.56
18,16,1768488900,1768488900000,0,0,10012026,9,5.0,0.02,1.16254,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1007.56
19,17,1768780800,1768780800000,0,1,0,7,5.0,0.01,1.15852,-0.2,0.0,5.1,0.0,EURUSD,TP hit,0,1012.4599999999999
20,18,1768780800,1768780800000,1,0,10012026,10,5.0,0.01,1.15818,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1012.4599999999999
21,19,1768886580,1768886580000,0,1,0,10,5.0,0.01,1.16529,-0.2,0.0,-7.11,0.0,EURUSD,SL hit,0,1005.15
22,20,1768886580,1768886580000,1,0,10012026,11,5.0,0.02,1.16529,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1005.15
23,21,1768900980,1768900980000,1,1,0,9,5.0,0.02,1.16764,-0.2,0.0,10.2,0.0,EURUSD,TP hit,0,1015.15
24,22,1768900980,1768900980000,0,0,10012026,12,5.0,0.01,1.16764,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1015.15
25,23,1768907220,1768907220000,0,1,0,11,5.0,0.02,1.17258,-0.2,0.0,-14.58,0.0,EURUSD,SL hit,0,1000.37
26,24,1768907220,1768907220000,1,0,10012026,13,5.0,0.04,1.17258,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1000.37
27,25,1768908600,1768908600000,1,1,0,12,5.0,0.01,1.1727400000000001,-0.2,0.0,5.1,0.0,EURUSD,TP hit,0,1005.27
28,26,1768908600,1768908600000,0,0,10012026,14,5.0,0.01,1.1727400000000001,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1005.27
29,27,1769045400,1769045400000,0,1,0,13,5.0,0.04,1.16755,-0.2,0.0,20.12,0.0,EURUSD,TP hit,0,1025.19
30,28,1769045400,1769045400000,1,0,10012026,15,5.0,0.01,1.16755,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1025.19
31,29,1769105820,1769105820000,0,1,0,15,5.0,0.01,1.17455,-0.2,0.0,-7.0,0.0,EURUSD,SL hit,0,1017.99
32,30,1769105820,1769105820000,1,0,10012026,16,5.0,0.02,1.17455,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1017.99
33,31,1769195280,1769195280000,1,1,0,14,5.0,0.01,1.17792,-0.2,0.0,5.18,0.0,EURUSD,TP hit,0,1022.97
34,32,1769195280,1769195280000,0,0,10012026,17,5.0,0.01,1.17792,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1022.97
35,33,1769206440,1769206440000,0,1,0,16,5.0,0.02,1.18158,-0.2,0.0,-14.06,0.0,EURUSD,SL hit,0,1008.71
36,34,1769206440,1769206440000,1,0,10012026,18,5.0,0.04,1.18158,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,1008.71
37,35,1769209680,1769209680000,1,1,0,17,5.0,0.01,1.18313,-0.2,0.0,5.21,0.0,EURUSD,TP hit,0,1013.72
38,36,1769209680,1769209680000,0,0,10012026,19,5.0,0.01,1.18313,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1013.72
39,37,1769388780,1769388780000,1,1,0,19,5.0,0.01,1.18847,-0.2,0.0,5.34,0.0,EURUSD,TP hit,0,1018.86
40,38,1769388780,1769388780000,0,1,0,18,5.0,0.04,1.18869,-0.2,0.0,-28.44,0.0,EURUSD,SL hit,0,990.22
41,39,1769388780,1769388780000,0,0,10012026,20,5.0,0.08,1.18869,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,990.22
42,40,1769388780,1769388780000,1,0,10012026,21,5.0,0.08,1.18847,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,990.22
43,41,1769526060,1769526060000,1,1,0,20,5.0,0.08,1.19374,-0.2,0.0,40.4,0.0,EURUSD,TP hit,0,1030.42
44,42,1769526060,1769526060000,0,0,10012026,22,5.0,0.01,1.19374,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,1030.42
45,43,1769533380,1769533380000,0,1,0,21,5.0,0.08,1.19581,-0.2,0.0,-58.72,0.0,EURUSD,SL hit,0,971.5000000000001
46,44,1769533380,1769533380000,1,0,10012026,23,5.0,0.16,1.19581,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,971.5000000000001
47,45,1769539440,1769539440000,1,1,0,22,5.0,0.01,1.19876,-0.2,0.0,5.02,0.0,EURUSD,TP hit,0,976.3200000000002
48,46,1769539440,1769539440000,0,0,10012026,24,5.0,0.01,1.19876,0.0,0.0,0.0,0.0,EURUSD,Tester buy,0,976.3200000000002
49,47,1769554020,1769554020000,0,1,0,23,5.0,0.16,1.2032,-0.2,0.0,-118.24,0.0,EURUSD,SL hit,0,857.8800000000001
50,48,1769554020,1769554020000,1,0,10012026,25,5.0,0.32,1.2032,0.0,0.0,0.0,0.0,EURUSD,Tester sell,0,857.8800000000001
51,49,1769554080,1769554080000,1,1,0,24,5.0,0.01,1.20758,-0.2,0.0,8.82,0.0,EURUSD,TP hit,0,866.5000000000001
