ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1,1767214800,1767214800000,1767625440,1767625440000,0,0,0,0,4,10012026,1,0,,0.01,0.01,1.17376,1.16676,1.1787599999999998,1.1666400000000001,0.0,EURUSD,Tester buy,0
2,1767214800,1767214800000,1767587820,1767587820000,0,1,0,0,4,10012026,2,0,,0.01,0.01,1.17376,1.1807599999999998,1.16876,1.16869,0.0,EURUSD,Tester sell,0
3,1767587820,1767587820000,1767975960,1767975960000,0,1,0,0,4,10012026,3,0,,0.01,0.01,1.16869,1.17569,1.1636900000000001,1.1636199999999999,0.0,EURUSD,Tester sell,0
4,1767625440,1767625440000,1767637980,1767637980000,0,0,0,0,4,10012026,4,0,,0.02,0.02,1.1666400000000001,1.1596400000000002,1.17164,1.17166,0.0,EURUSD,Tester buy,0
5,1767637980,1767637980000,1767900660,1767900660000,0,0,0,0,4,10012026,5,0,,0.01,0.01,1.17166,1.16466,1.1766599999999998,1.16466,0.0,EURUSD,Tester buy,0
6,1767900660,1767900660000,1768232820,1768232820000,0,0,0,0,4,10012026,6,0,,0.02,0.02,1.16466,1.1576600000000001,1.16966,1.16968,0.0,EURUSD,Tester buy,0
7,1767975960,1767975960000,1768780800,1768780800000,0,1,0,0,4,10012026,7,0,,0.01,0.01,1.1636199999999999,1.1706199999999998,1.15862,1.15852,0.0,EURUSD,Tester sell,0
8,1768232820,1768232820000,1768488900,1768488900000,0,0,0,0,4,10012026,8,0,,0.01,0.01,1.16968,1.1626800000000002,1.17468,1.16254,0.0,EURUSD,Tester buy,0
9,1768488900,1768488900000,1768900980,1768900980000,0,0,0,0,4,10012026,9,0,,0.02,0.02,1.16254,1.15554,1.1675399999999998,1.16764,0.0,EURUSD,Tester buy,0
10,1768780800,1768780800000,1768886580,1768886580000,0,1,0,0,4,10012026,10,0,,0.01,0.01,1.15818,1.1651799999999999,1.15318,1.16529,0.0,EURUSD,Tester sell,0
11,1768886580,1768886580000,1768907220,1768907220000,0,1,0,0,4,10012026,11,0,,0.02,0.02,1.16529,1.1722899999999998,1.16029,1.17258,0.0,EURUSD,Tester sell,0
12,1768900980,1768900980000,1768908600,1768908600000,0,0,0,0,4,10012026,12,0,,0.01,0.01,1.16764,1.1606400000000001,1.17264,1.1727400000000001,0.0,EURUSD,Tester buy,0
13,1768907220,1768907220000,1769045400,1769045400000,0,1,0,0,4,10012026,13,0,,0.04,0.04,1.17258,1.1795799999999999,1.16758,1.16755,0.0,EURUSD,Tester sell,0
14,1768908600,1768908600000,1769195280,1769195280000,0,0,0,0,4,10012026,14,0,,0.01,0.01,1.1727400000000001,1.1657400000000002,1.17774,1.17792,0.0,EURUSD,Tester buy,0
15,1769045400,1769045400000,1769105820,1769105820000,0,1,0,0,4,10012026,15,0,,0.01,0.01,1.16755,1.17455,1.1625500000000002,1.17455,0.0,EURUSD,Tester sell,0
16,1769105820,1769105820000,1769206440,1769206440000,0,1,0,0,4,10012026,16,0,,0.02,0.02,1.17455,1.1815499999999999,1.16955,1.18158,0.0,EURUSD,Tester sell,0
17,1769195280,1769195280000,1769209680,1769209680000,0,0,0,0,4,10012026,17,0,,0.01,0.01,1.17792,1.1709200000000002,1.18292,1.18313,0.0,EURUSD,Tester buy,0
18,1769206440,1769206440000,1769388780,1769388780000,0,1,0,0,4,10012026,18,0,,0.04,0.04,1.18158,1.18858,1.1765800000000002,1.18869,0.0,EURUSD,Tester sell,0
19,1769209680,1769209680000,1769388780,1769388780000,0,0,0,0,4,10012026,19,0,,0.01,0.01,1.18313,1.1761300000000001,1.18813,1.18847,0.0,EURUSD,Tester buy,0
20,1769388780,1769388780000,1769526060,1769526060000,0,0,0,0,4,10012026,20,0,,0.08,0.08,1.18869,1.1816900000000001,1.19369,1.19374,0.0,EURUSD,Tester buy,0
21,1769388780,1769388780000,1769533380,1769533380000,0,1,0,0,4,10012026,21,0,,0.08,0.08,1.18847,1.1954699999999998,1.18347,1.19581,0.0,EURUSD,Tester sell,0
22,1769526060,1769526060000,1769539440,1769539440000,0,0,0,0,4,10012026,22,0,,0.01,0.01,1.19374,1.1867400000000001,1.19874,1.19876,0.0,EURUSD,Tester buy,0
23,1769533380,1769533380000,1769554020,1769554020000,0,1,0,0,4,10012026,23,0,,0.16,0.16,1.19581,1.20281,1.1908100000000001,1.2032,0.0,EURUSD,Tester sell,0
24,1769539440,1769539440000,1769554080,1769554080000,0,0,0,0,4,10012026,24,0,,0.01,0.01,1.19876,1.1917600000000002,1.20376,1.20758,0.0,EURUSD,Tester buy,0
25,1769554020,1769554020000,1769583720,1769583720000,0,1,0,0,4,10012026,25,0,,0.32,0.32,1.2032,1.2102,1.1982000000000002,1.19766,0.0,EURUSD,Tester sell,0
26,1769554080,1769554080000,1769570340,1769570340000,0,0,0,0,4,10012026,26,0,,0.01,0.01,1.20758,1.2005800000000002,1.21258,1.20058,0.0,EURUSD,Tester buy,0
27,1769570340,1769570340000,1769620080,1769620080000,0,0,0,0,4,10012026,27,0,,0.02,0.02,1.20058,1.19358,1.2055799999999999,1.1934,0.0,EURUSD,Tester buy,0
28,1769583720,1769583720000,1769625000,1769625000000,0,1,0,0,4,10012026,28,0,,0.01,0.01,1.19766,1.2046599999999998,1.19266,1.19249,0.0,EURUSD,Tester sell,0
29,1769620080,1769620080000,1769666100,1769666100000,0,0,0,0,4,10012026,29,0,,0.04,0.04,1.1934,1.1864000000000001,1.1984,1.19841,0.0,EURUSD,Tester buy,0
30,1769625000,1769625000000,1769677380,1769677380000,0,1,0,0,4,10012026,30,0,,0.01,0.01,1.19249,1.19949,1.1874900000000002,1.19959,0.0,EURUSD,Tester sell,0
31,1769666100,1769666100000,1769707560,1769707560000,0,0,0,0,4,10012026,31,0,,0.01,0.01,1.19841,1.19141,1.2034099999999999,1.19134,0.0,EURUSD,Tester buy,0
32,1769677380,1769677380000,1769690760,1769690760000,0,1,0,0,4,10012026,32,0,,0.02,0.02,1.19959,1.2065899999999998,1.19459,1.19436,0.0,EURUSD,Tester sell,0
33,1769690760,1769690760000,1769792580,1769792580000,0,1,0,0,4,10012026,33,0,,0.01,0.01,1.19436,1.20136,1.1893600000000002,1.18913,0.0,EURUSD,Tester sell,0
34,1769707560,1769707560000,1769719140,1769719140000,0,0,0,0,4,10012026,34,0,,0.02,0.02,1.19134,1.1843400000000002,1.19634,1.19635,0.0,EURUSD,Tester buy,0
35,1769719140,1769719140000,1769792580,1769792580000,0,0,0,0,4,10012026,35,0,,0.01,0.01,1.19635,1.1893500000000001,1.20135,1.18912,0.0,EURUSD,Tester buy,0
36,1769792580,1769792580000,1770046500,1770046500000,0,0,0,0,4,10012026,36,0,,0.01,0.01,1.18913,1.1821300000000001,1.19413,1.1821,0.0,EURUSD,Tester buy,0
37,1769792580,1769792580000,1769994540,1769994540000,0,1,0,0,4,10012026,37,0,,0.01,0.01,1.18912,1.1961199999999999,1.18412,1.18411,0.0,EURUSD,Tester sell,0
38,1769994540,1769994540000,1770055080,1770055080000,0,1,0,0,4,10012026,38,0,,0.01,0.01,1.18411,1.19111,1.17911,1.17911,0.0,EURUSD,Tester sell,0
39,1770046500,1770046500000,1770645300,1770645300000,0,0,0,0,4,10012026,39,0,,0.02,0.02,1.1821,1.1751,1.1870999999999998,1.18713,0.0,EURUSD,Tester buy,0
40,1770055080,1770055080000,1770631440,1770631440000,0,1,0,0,4,10012026,40,0,,0.01,0.01,1.17911,1.18611,1.1741100000000002,1.18614,0.0,EURUSD,Tester sell,0
41,1770631440,1770631440000,1771349100,1771349100000,0,1,0,0,4,10012026,41,0,,0.02,0.02,1.18614,1.1931399999999999,1.18114,1.18114,0.0,EURUSD,Tester sell,0
42,1770645300,1770645300000,1770656400,1770656400000,0,0,0,0,4,10012026,42,0,,0.01,0.01,1.18713,1.1801300000000001,1.19213,1.1926,0.0,EURUSD,Tester buy,0
43,1770656400,1770656400000,1770823800,1770823800000,0,0,0,0,4,10012026,43,0,,0.01,0.01,1.1926,1.1856000000000002,1.1976,1.18452,0.0,EURUSD,Tester buy,0
44,1770823800,1770823800000,1771510680,1771510680000,0,0,0,0,4,10012026,44,0,,0.02,0.02,1.18452,1.1775200000000001,1.18952,1.17739,0.0,EURUSD,Tester buy,0
45,1771349100,1771349100000,1771513440,1771513440000,0,1,0,0,4,10012026,45,0,,0.01,0.01,1.18114,1.18814,1.1761400000000002,1.17612,0.0,EURUSD,Tester sell,0
46,1771510680,1771510680000,1771810680,1771810680000,0,0,0,0,4,10012026,46,0,,0.04,0.04,1.17739,1.17039,1.1823899999999998,1.18246,0.0,EURUSD,Tester buy,0
47,1771513440,1771513440000,1771811820,1771811820000,0,1,0,0,4,10012026,47,0,,0.01,0.01,1.17612,1.18312,1.1711200000000002,1.1834500000000001,0.0,EURUSD,Tester sell,0
48,1771810680,1771810680000,1772439240,1772439240000,0,0,0,0,4,10012026,48,0,,0.01,0.01,1.18246,1.1754600000000002,1.18746,1.17532,0.0,EURUSD,Tester buy,0
49,1771811820,1771811820000,1771853460,1771853460000,0,1,0,0,4,10012026,49,0,,0.02,0.02,1.1834500000000001,1.19045,1.1784500000000002,1.17839,0.0,EURUSD,Tester sell,0
50,1771853460,1771853460000,1772440800,1772440800000,0,1,0,0,4,10012026,50,0,,0.01,0.01,1.17838,1.1853799999999999,1.17338,1.17319,0.0,EURUSD,Tester sell,0
51,1772439240,1772439240000,1772474160,1772474160000,0,0,0,0,4,10012026,51,0,,0.02,0.02,1.17532,1.16832,1.1803199999999998,1.16832,0.0,EURUSD,Tester buy,0
52,1772440800,1772440800000,1772474220,1772474220000,0,1,0,0,4,10012026,52,0,,0.01,0.01,1.17319,1.1801899999999999,1.16819,1.16812,0.0,EURUSD,Tester sell,0
53,1772474160,1772474160000,1772537460,1772537460000,0,0,0,0,4,10012026,53,0,,0.04,0.04,1.16832,1.1613200000000001,1.17332,1.16123,0.0,EURUSD,Tester buy,0
54,1772474220,1772474220000,1772533020,1772533020000,0,1,0,0,4,10012026,54,0,,0.01,0.01,1.16812,1.17512,1.1631200000000002,1.16312,0.0,EURUSD,Tester sell,0
55,1772533020,1772533020000,1772555040,1772555040000,0,1,0,0,4,10012026,55,0,,0.01,0.01,1.16312,1.1701199999999998,1.15812,1.15743,0.0,EURUSD,Tester sell,0
56,1772537460,1772537460000,1772558220,1772558220000,0,0,0,0,4,10012026,56,0,,0.08,0.08,1.16123,1.15423,1.1662299999999999,1.15412,0.0,EURUSD,Tester buy,0
57,1772555040,1772555040000,1772630040,1772630040000,0,1,0,0,4,10012026,57,0,,0.01,0.01,1.15743,1.1644299999999999,1.15243,1.16452,0.0,EURUSD,Tester sell,0
58,1772558220,1772558220000,1772561700,1772561700000,0,0,0,0,4,10012026,58,0,,0.16,0.16,1.15412,1.1471200000000001,1.15912,1.15917,0.0,EURUSD,Tester buy,0
59,1772561700,1772561700000,1772626080,1772626080000,0,0,0,0,4,10012026,59,0,,0.01,0.01,1.15917,1.1521700000000001,1.16417,1.16432,0.0,EURUSD,Tester buy,0
60,1772626080,1772626080000,1772732220,1772732220000,0,0,0,0,4,10012026,60,0,,0.01,0.01,1.16432,1.1573200000000001,1.16932,1.15716,0.0,EURUSD,Tester buy,0
61,1772630040,1772630040000,1772697480,1772697480000,0,1,0,0,4,10012026,61,0,,0.02,0.02,1.16452,1.17152,1.15952,1.15946,0.0,EURUSD,Tester sell,0
62,1772697480,1772697480000,1773018240,1773018240000,0,1,0,0,4,10012026,62,0,,0.01,0.01,1.15946,1.1664599999999998,1.15446,1.15426,0.0,EURUSD,Tester sell,0
63,1772732220,1772732220000,1773096240,1773096240000,0,0,0,0,4,10012026,63,0,,0.02,0.02,1.15716,1.15016,1.1621599999999999,1.16238,0.0,EURUSD,Tester buy,0
64,1773018240,1773018240000,1773094860,1773094860000,0,1,0,0,4,10012026,64,0,,0.01,0.01,1.15426,1.16126,1.1492600000000002,1.16126,0.0,EURUSD,Tester sell,0
65,1773094860,1773094860000,1773278820,1773278820000,0,1,0,0,4,10012026,65,0,,0.02,0.02,1.16126,1.1682599999999999,1.15626,1.15607,0.0,EURUSD,Tester sell,0
66,1773096240,1773096240000,1773279600,1773279600000,0,0,0,0,4,10012026,66,0,,0.01,0.01,1.16238,1.15538,1.1673799999999999,1.15536,0.0,EURUSD,Tester buy,0
67,1773278820,1773278820000,1773358080,1773358080000,0,1,0,0,4,10012026,67,0,,0.01,0.01,1.15607,1.1630699999999998,1.15107,1.15107,0.0,EURUSD,Tester sell,0
68,1773279600,1773279600000,1773395940,1773395940000,0,0,0,0,4,10012026,68,0,,0.02,0.02,1.15536,1.14836,1.1603599999999998,1.14828,0.0,EURUSD,Tester buy,0
