,ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,balance
0,1,0,1767214800,1767214800000,2,0,0,0,,,,0.0,0.0,0.0,0.0,,,,1000.0
1,2,1,1767324600,1767324600000,1,0,25012026,1,5.0,0.01,1.17615,0.0,0.0,0.0,0.0,EURUSD,,0,1000.0
2,3,2,1767324600,1767324600000,1,0,25012026,2,5.0,0.01,1.34848,0.0,0.0,0.0,0.0,GBPUSD,,0,1000.0
3,4,3,1767324600,1767324600000,1,0,25012026,3,5.0,0.01,0.66912,0.0,0.0,0.0,0.0,AUDUSD,,0,1000.0
4,5,4,1767324600,1767324600000,0,0,25012026,4,5.0,0.01,1.3708500000000001,0.0,0.0,0.0,0.0,USDCAD,,0,1000.0
5,6,5,1767324600,1767324600000,0,0,25012026,5,5.0,0.01,0.79101,0.0,0.0,0.0,0.0,USDCHF,,0,1000.0
6,7,6,1767324660,1767324660000,0,0,25012026,6,5.0,0.01,1.17609,0.0,0.0,0.0,0.0,EURUSD,,0,1000.0
7,8,7,1767324660,1767324660000,0,0,25012026,7,5.0,0.01,1.3484800000000001,0.0,0.0,0.0,0.0,GBPUSD,,0,1000.0
8,9,8,1767324660,1767324660000,0,0,25012026,8,5.0,0.01,0.66906,0.0,0.0,0.0,0.0,AUDUSD,,0,1000.0
9,10,9,1767324660,1767324660000,0,0,25012026,9,5.0,0.01,156.599,0.0,0.0,0.0,0.0,USDJPY,,0,1000.0
10,11,10,1767324780,1767324780000,1,1,0,9,5.0,0.01,156.622,-0.2,0.0,23.0,0.0,USDJPY,TP hit,0,1023.0
11,12,11,1767324780,1767324780000,0,0,25012026,10,5.0,0.01,156.622,0.0,0.0,0.0,0.0,USDJPY,,0,1023.0
12,13,12,1767324840,1767324840000,1,1,0,10,5.0,0.01,156.644,-0.2,0.0,22.0,0.0,USDJPY,TP hit,0,1045.0
13,14,13,1767324840,1767324840000,0,0,25012026,11,5.0,0.01,156.644,0.0,0.0,0.0,0.0,USDJPY,,0,1045.0
