,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
0,1,1767324600,1767324600000,1767340080,1767340080000,0,1,0,0,4,25012026,1,0,,0.01,0.01,1.17615,1.1775201183431954,1.1753279289940828,1.1753,0.0,EURUSD,,0
1,2,1767324600,1767324600000,1767340320,1767340320000,0,1,0,0,4,25012026,2,0,,0.01,0.01,1.34848,1.35038,1.34734,1.34728,0.0,GBPUSD,,0
2,3,1767324600,1767324600000,1767348840,1767348840000,0,1,0,0,4,25012026,3,0,,0.01,0.01,0.66912,0.670487603550296,0.6682994378698225,0.67058,0.0,AUDUSD,,0
3,4,1767324600,1767324600000,1767336060,1767336060000,0,0,0,0,4,25012026,4,0,,0.01,0.01,1.3708500000000001,1.369492455621302,1.371664526627219,1.37169,0.0,USDCAD,,0
4,5,1767324600,1767324600000,1767335520,1767335520000,0,0,0,0,4,25012026,5,0,,0.01,0.01,0.79101,0.7894786390532544,0.7919288165680474,0.79196,0.0,USDCHF,,0
5,6,1767324660,1767324660000,1767341880,1767341880000,0,0,0,0,4,25012026,6,0,,0.01,0.01,1.17609,1.1745586390532545,1.1770088165680475,1.17453,0.0,EURUSD,,0
6,7,1767324660,1767324660000,1767340860,1767340860000,0,0,0,0,4,25012026,7,0,,0.01,0.01,1.3484800000000001,1.3469486390532546,1.3493988165680475,1.34688,0.0,GBPUSD,,0
7,8,1767324660,1767324660000,1767330840,1767330840000,0,0,0,0,4,25012026,8,0,,0.01,0.01,0.66906,0.6675286390532544,0.6699788165680474,0.66998,0.0,AUDUSD,,0
8,9,1767324660,1767324660000,1767324780,1767324780000,0,0,0,0,4,25012026,9,0,,0.01,0.01,156.599,156.59746863905323,156.59991881656805,156.622,0.0,USDJPY,,0
9,10,1767324780,1767324780000,1767324840,1767324840000,0,0,0,0,4,25012026,10,0,,0.01,0.01,156.622,156.62046863905326,156.62291881656807,156.644,0.0,USDJPY,,0
