ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,balance
1,0,1767214800,1767214800000,2,0,0,0,,,,0.0,0.0,0.0,0.0,,,,1000.0
2,0,1767214800,1767214800000,2,0,0,0,,,,0.0,0.0,0.0,0.0,,,,1000.0
3,1,1767351600,1767351600000,0,0,1001,1,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1000.0
4,2,1767636000,1767636000000,1,0,1001,2,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,1000.0
5,3,1767636000,1767636000000,1,1,1001,1,5.0,0.01,1.17149,-0.2,0.0,16.93,0.0,EURUSD,,0,1016.73
6,4,1767718800,1767718800000,0,0,1001,3,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1016.73
7,5,1767718800,1767718800000,0,1,1001,2,5.0,0.01,1.16954,-0.2,0.0,-15.06,0.0,EURUSD,,0,1001.47
8,6,1768201200,1768201200000,1,0,1001,4,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,1001.47
9,7,1768201200,1768201200000,1,1,1001,3,5.0,0.01,1.16692,-0.2,0.0,12.36,0.0,EURUSD,,0,1013.63
10,8,1768273200,1768273200000,0,0,1001,5,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1013.63
11,9,1768273200,1768273200000,0,1,1001,4,5.0,0.01,1.16586,-0.2,0.0,-11.38,0.0,EURUSD,,0,1002.05
12,10,1768575600,1768575600000,1,0,1001,6,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,1002.05
13,11,1768575600,1768575600000,1,1,1001,5,5.0,0.01,1.16186,-0.2,0.0,7.3,0.0,EURUSD,,0,1009.15
14,12,1768582800,1768582800000,0,0,1001,7,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1009.15
15,13,1768582800,1768582800000,0,1,1001,6,5.0,0.01,1.1593499999999999,-0.2,0.0,-4.87,0.0,EURUSD,,0,1004.0799999999999
16,14,1768827600,1768827600000,1,0,1001,8,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,1004.0799999999999
17,15,1768827600,1768827600000,1,1,1001,7,5.0,0.01,1.1628,-0.2,0.0,8.24,0.0,EURUSD,,0,1012.1199999999999
18,16,1769043600,1769043600000,0,0,1001,9,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1012.1199999999999
19,17,1769043600,1769043600000,0,1,1001,8,5.0,0.01,1.1673,-0.2,0.0,-12.82,0.0,EURUSD,,0,999.0999999999999
20,18,1769086800,1769086800000,1,0,1001,10,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,999.0999999999999
21,19,1769086800,1769086800000,1,1,1001,9,5.0,0.01,1.17026,-0.2,0.0,15.7,0.0,EURUSD,,0,1014.5999999999999
22,20,1769169600,1769169600000,0,0,1001,11,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1014.5999999999999
23,21,1769169600,1769169600000,0,1,1001,10,5.0,0.01,1.17344,-0.2,0.0,-18.96,0.0,EURUSD,,0,995.4399999999999
24,22,1769191200,1769191200000,1,0,1001,12,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,995.4399999999999
25,23,1769191200,1769191200000,1,1,1001,11,5.0,0.01,1.17707,-0.2,0.0,22.51,0.0,EURUSD,,0,1017.75
26,24,1769598000,1769598000000,0,0,1001,13,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1017.75
27,25,1769598000,1769598000000,0,1,1001,12,5.0,0.01,1.19868,-0.2,0.0,-44.2,0.0,EURUSD,,0,973.35
28,26,1769666400,1769666400000,1,0,1001,14,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,973.35
29,27,1769666400,1769666400000,1,1,1001,13,5.0,0.01,1.199,-0.2,0.0,44.44,0.0,EURUSD,,0,1017.59
30,28,1769760000,1769760000000,0,0,1001,15,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1017.59
31,29,1769760000,1769760000000,0,1,1001,14,5.0,0.01,1.19191,-0.2,0.0,-37.43,0.0,EURUSD,,0,979.96
32,30,1770109200,1770109200000,1,0,1001,16,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,979.96
33,31,1770109200,1770109200000,1,1,1001,15,5.0,0.01,1.18153,-0.2,0.0,26.97,0.0,EURUSD,,0,1006.73
34,32,1770224400,1770224400000,0,0,1001,17,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1006.73
35,33,1770224400,1770224400000,0,1,1001,16,5.0,0.01,1.17963,-0.2,0.0,-25.15,0.0,EURUSD,,0,981.38
36,34,1770390000,1770390000000,1,0,1001,18,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,981.38
37,35,1770390000,1770390000000,1,1,1001,17,5.0,0.01,1.18104,-0.2,0.0,26.48,0.0,EURUSD,,0,1007.66
38,36,1770822000,1770822000000,0,0,1001,19,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1007.66
39,37,1770822000,1770822000000,0,1,1001,18,5.0,0.01,1.1862,-0.2,0.0,-31.72,0.0,EURUSD,,0,975.74
40,38,1771491600,1771491600000,1,0,1001,20,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,975.74
41,39,1771491600,1771491600000,1,1,1001,19,5.0,0.01,1.18008,-0.2,0.0,25.52,0.0,EURUSD,,0,1001.0600000000001
42,40,1771509600,1771509600000,0,0,1001,21,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1001.0600000000001
43,41,1771509600,1771509600000,0,1,1001,20,5.0,0.01,1.17694,-0.2,0.0,-22.46,0.0,EURUSD,,0,978.4000000000001
44,42,1771606800,1771606800000,1,0,1001,22,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,978.4000000000001
45,43,1771606800,1771606800000,1,1,1001,21,5.0,0.01,1.17882,-0.2,0.0,24.26,0.0,EURUSD,,0,1002.46
46,44,1771855200,1771855200000,0,0,1001,23,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1002.46
47,45,1771855200,1771855200000,0,1,1001,22,5.0,0.01,1.17818,-0.2,0.0,-23.7,0.0,EURUSD,,0,978.5600000000001
48,46,1771992000,1771992000000,1,0,1001,24,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,978.5600000000001
49,47,1771992000,1771992000000,1,1,1001,23,5.0,0.01,1.17923,-0.2,0.0,24.67,0.0,EURUSD,,0,1003.0300000000001
50,48,1772132400,1772132400000,0,0,1001,25,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,1003.0300000000001
51,49,1772132400,1772132400000,0,1,1001,24,5.0,0.01,1.17761,-0.2,0.0,-23.13,0.0,EURUSD,,0,979.7
52,50,1773093600,1773093600000,1,0,1001,26,5.0,0.01,1.15448,0.0,0.0,0.0,0.0,EURUSD,,0,979.7
53,51,1773093600,1773093600000,1,1,1001,25,5.0,0.01,1.16089,-0.2,0.0,6.33,0.0,EURUSD,,0,985.83
54,52,1773183600,1773183600000,0,0,1001,27,5.0,0.01,1.15456,0.0,0.0,0.0,0.0,EURUSD,,0,985.83
